3661['138000', 'QD', '10.11.1990', '   4.8600']
3668['138000', 'QD', '17.11.1990', '   6.4600']
3675['138000', 'QD', '24.11.1990', '  11.0000']
3682['138000', 'QD', '01.12.1990', '   7.9800']
3689['138000', 'QD', '08.12.1990', '   5.6400']
3696['138000', 'QD', '15.12.1990', '   5.9000']
3703['138000', 'QD', '22.12.1990', '   5.9000']
3710['138000', 'QD', '29.12.1990', '   6.7400']
3717['138000', 'QD', '05.01.1991', '  17.5000']
3724['138000', 'QD', '12.01.1991', '  24.5000']
3731['138000', 'QD', '19.01.1991', '   7.3000']
3738['138000', 'QD', '26.01.1991', '   6.4600']
3745['138000', 'QD', '02.02.1991', '   4.8600']
3752['138000', 'QD', '09.02.1991', '   4.3500']
3759['138000', 'QD', '16.02.1991', '   4.3500']
3766['138000', 'QD', '23.02.1991', '   5.1200']
3773['138000', 'QD', '02.03.1991', '   5.6400']
3780['138000', 'QD', '09.03.1991', '  11.0000']
3787['138000', 'QD', '16.03.1991', '   7.6400']
3794['138000', 'QD', '23.03.1991', '  18.6000']
3801['138000', 'QD', '30.03.1991', '   8.3200']
3808['138000', 'QD', '06.04.1991', '  10.6000']
3815['138000', 'QD', '13.04.1991', '   7.9800']
3822['138000', 'QD', '20.04.1991', '   6.7400']
3829['138000', 'QD', '27.04.1991', '   6.4600']
3836['138000', 'QD', '04.05.1991', '  10.6000']
3843['138000', 'QD', '11.05.1991', '   7.0200']
3850['138000', 'QD', '18.05.1991', '   7.0200']
3857['138000', 'QD', '25.05.1991', '   6.7400']
3864['138000', 'QD', '01.06.1991', '   5.9000']
3871['138000', 'QD', '08.06.1991', '   5.6400']
3878['138000', 'QD', '15.06.1991', '   5.3800']
3885['138000', 'QD', '22.06.1991', '   8.3200']
3892['138000', 'QD', '29.06.1991', '  15.3000']
3899['138000', 'QD', '06.07.1991', '   6.4600']
3906['138000', 'QD', '13.07.1991', '  17.0000']
3913['138000', 'QD', '20.07.1991', '   7.9800']
3920['138000', 'QD', '27.07.1991', '  11.9000']
3927['138000', 'QD', '03.08.1991', '  78.0000']
3934['138000', 'QD', '10.08.1991', '  19.2000']
3941['138000', 'QD', '17.08.1991', '  10.6000']
3948['138000', 'QD', '24.08.1991', '   7.3000']
3955['138000', 'QD', '31.08.1991', '   5.9000']
3962['138000', 'QD', '07.09.1991', '   5.6400']
3969['138000', 'QD', '14.09.1991', '   5.3800']
3976['138000', 'QD', '21.09.1991', '   4.8600']
3983['138000', 'QD', '28.09.1991', '   5.9000']
3990['138000', 'QD', '05.10.1991', '   4.8600']
3997['138000', 'QD', '12.10.1991', '   4.6000']
4004['138000', 'QD', '19.10.1991', '   4.8600']
4011['138000', 'QD', '26.10.1991', '   5.3800']
4018['138000', 'QD', '02.11.1991', '   4.8700']
4025['138000', 'QD', '09.11.1991', '  17.3000']
4032['138000', 'QD', '16.11.1991', '   4.8400']
4039['138000', 'QD', '23.11.1991', '   4.5300']
4046['138000', 'QD', '30.11.1991', '   4.6300']
4053['138000', 'QD', '07.12.1991', '   3.6300']
4060['138000', 'QD', '14.12.1991', '   3.2300']
4067['138000', 'QD', '21.12.1991', '  11.4000']
4074['138000', 'QD', '28.12.1991', '   9.4000']
4081['138000', 'QD', '04.01.1992', '   6.4400']
4088['138000', 'QD', '11.01.1992', '   9.4000']
4095['138000', 'QD', '18.01.1992', '   6.3900']
4102['138000', 'QD', '25.01.1992', '   5.4900']
4109['138000', 'QD', '01.02.1992', '   4.8500']
4116['138000', 'QD', '08.02.1992', '   5.4000']
4123['138000', 'QD', '15.02.1992', '   6.3900']
4130['138000', 'QD', '22.02.1992', '   5.7100']
4137['138000', 'QD', '29.02.1992', '   5.1300']
4144['138000', 'QD', '07.03.1992', '   7.4000']
4151['138000', 'QD', '14.03.1992', '  26.5000']
4158['138000', 'QD', '21.03.1992', '  15.1000']
4165['138000', 'QD', '28.03.1992', '  10.4000']
4172['138000', 'QD', '04.04.1992', '  12.9000']
4179['138000', 'QD', '11.04.1992', '  11.5000']
4186['138000', 'QD', '18.04.1992', '   9.5900']
4193['138000', 'QD', '25.04.1992', '  22.1000']
4200['138000', 'QD', '02.05.1992', '  31.5000']
4207['138000', 'QD', '09.05.1992', '  23.4000']
4214['138000', 'QD', '16.05.1992', '  18.1000']
4221['138000', 'QD', '23.05.1992', '   9.0700']
4228['138000', 'QD', '30.05.1992', '   7.0700']
4235['138000', 'QD', '06.06.1992', '   7.3900']
4242['138000', 'QD', '13.06.1992', '   6.6400']
4249['138000', 'QD', '20.06.1992', '   5.4900']
4256['138000', 'QD', '27.06.1992', '   6.1200']
4263['138000', 'QD', '04.07.1992', '   5.3000']
4270['138000', 'QD', '11.07.1992', '   5.9200']
4277['138000', 'QD', '18.07.1992', '   4.2600']
4284['138000', 'QD', '25.07.1992', '   3.8400']
4291['138000', 'QD', '01.08.1992', '   3.4400']
4298['138000', 'QD', '08.08.1992', '   2.6900']
4305['138000', 'QD', '15.08.1992', '   3.0400']
4312['138000', 'QD', '22.08.1992', '   2.5100']
4319['138000', 'QD', '29.08.1992', '   2.4300']
4326['138000', 'QD', '05.09.1992', '   4.2700']
4333['138000', 'QD', '12.09.1992', '   2.8000']
4340['138000', 'QD', '19.09.1992', '   2.7000']
4347['138000', 'QD', '26.09.1992', '   2.7200']
4354['138000', 'QD', '03.10.1992', '   3.7200']
4361['138000', 'QD', '10.10.1992', '   3.2700']
4368['138000', 'QD', '17.10.1992', '   3.1100']
4375['138000', 'QD', '24.10.1992', '   6.4700']
4382['138000', 'QD', '31.10.1992', '   8.2000']
4389['138000', 'QD', '07.11.1992', '   7.4000']
4396['138000', 'QD', '14.11.1992', '   7.2700']
4403['138000', 'QD', '21.11.1992', '   6.8600']
4410['138000', 'QD', '28.11.1992', '  13.6000']
4417['138000', 'QD', '05.12.1992', '  21.1000']
4424['138000', 'QD', '12.12.1992', '   9.4200']
4431['138000', 'QD', '19.12.1992', '   7.2500']
4438['138000', 'QD', '26.12.1992', '   5.3800']
4445['138000', 'QD', '02.01.1993', '   4.4700']
4452['138000', 'QD', '09.01.1993', '  12.1000']
4459['138000', 'QD', '16.01.1993', '  10.6000']
4466['138000', 'QD', '23.01.1993', '  21.7000']
4473['138000', 'QD', '30.01.1993', '   8.7500']
4480['138000', 'QD', '06.02.1993', '   6.0900']
4487['138000', 'QD', '13.02.1993', '   6.1700']
4494['138000', 'QD', '20.02.1993', '   6.1200']
4501['138000', 'QD', '27.02.1993', '   5.4000']
4508['138000', 'QD', '06.03.1993', '   5.1300']
4515['138000', 'QD', '13.03.1993', '   5.1600']
4522['138000', 'QD', '20.03.1993', '  18.4000']
4529['138000', 'QD', '27.03.1993', '   9.7600']
4536['138000', 'QD', '03.04.1993', '   8.5000']
4543['138000', 'QD', '10.04.1993', '   7.2800']
4550['138000', 'QD', '17.04.1993', '   8.1200']
4557['138000', 'QD', '24.04.1993', '  13.5000']
4564['138000', 'QD', '01.05.1993', '   7.2800']
4571['138000', 'QD', '08.05.1993', '   6.2100']
4578['138000', 'QD', '15.05.1993', '   7.7200']
4585['138000', 'QD', '22.05.1993', '  11.3000']
4592['138000', 'QD', '29.05.1993', '   6.4400']
4599['138000', 'QD', '05.06.1993', '  13.0000']
4606['138000', 'QD', '12.06.1993', '  17.8000']
4613['138000', 'QD', '19.06.1993', '   7.5600']
4620['138000', 'QD', '26.06.1993', '   8.0600']
4627['138000', 'QD', '03.07.1993', '   5.1800']
4634['138000', 'QD', '10.07.1993', '   4.6200']
4641['138000', 'QD', '17.07.1993', '  15.8000']
4648['138000', 'QD', '24.07.1993', '   8.3700']
4655['138000', 'QD', '31.07.1993', '   7.5100']
4662['138000', 'QD', '07.08.1993', '   5.4200']
4669['138000', 'QD', '14.08.1993', '   4.6900']
4676['138000', 'QD', '21.08.1993', '   4.1600']
4683['138000', 'QD', '28.08.1993', '   5.5300']
4690['138000', 'QD', '04.09.1993', '  12.1000']
4697['138000', 'QD', '11.09.1993', '   5.1800']
4704['138000', 'QD', '18.09.1993', '   5.0700']
4711['138000', 'QD', '25.09.1993', '   4.2200']
4718['138000', 'QD', '02.10.1993', '   4.5300']
4725['138000', 'QD', '09.10.1993', '   4.5500']
4732['138000', 'QD', '16.10.1993', '   6.1000']
4739['138000', 'QD', '23.10.1993', '   9.1500']
4746['138000', 'QD', '30.10.1993', '   5.4000']
4753['138000', 'QD', '06.11.1993', '   5.1900']
4760['138000', 'QD', '13.11.1993', '   5.4600']
4767['138000', 'QD', '20.11.1993', '   3.9800']
4774['138000', 'QD', '27.11.1993', '   2.9200']
4781['138000', 'QD', '04.12.1993', '   6.0800']
4788['138000', 'QD', '11.12.1993', '  24.1000']
4795['138000', 'QD', '18.12.1993', '  11.1000']
4802['138000', 'QD', '25.12.1993', '  27.0000']
4809['138000', 'QD', '01.01.1994', '  38.3000']
4816['138000', 'QD', '08.01.1994', '  15.2000']
4823['138000', 'QD', '15.01.1994', '  13.3000']
4830['138000', 'QD', '22.01.1994', '   8.3900']
4837['138000', 'QD', '29.01.1994', '  14.2000']
4844['138000', 'QD', '05.02.1994', '  12.3000']
4851['138000', 'QD', '12.02.1994', '   9.0000']
4858['138000', 'QD', '19.02.1994', '   5.3300']
4865['138000', 'QD', '26.02.1994', '   7.7300']
4872['138000', 'QD', '05.03.1994', '   9.8800']
4879['138000', 'QD', '12.03.1994', '  13.7000']
4886['138000', 'QD', '19.03.1994', '  17.1000']
4893['138000', 'QD', '26.03.1994', '  59.8000']
4900['138000', 'QD', '02.04.1994', '  30.3000']
4907['138000', 'QD', '09.04.1994', '  12.8000']
4914['138000', 'QD', '16.04.1994', '  15.3000']
4921['138000', 'QD', '23.04.1994', '  16.8000']
4928['138000', 'QD', '30.04.1994', '  18.8000']
4935['138000', 'QD', '07.05.1994', '  13.1000']
4942['138000', 'QD', '14.05.1994', '  11.1000']
4949['138000', 'QD', '21.05.1994', '  10.0000']
4956['138000', 'QD', '28.05.1994', '  11.3000']
4963['138000', 'QD', '04.06.1994', '   6.5100']
4970['138000', 'QD', '11.06.1994', '   6.2700']
4977['138000', 'QD', '18.06.1994', '   7.6800']
4984['138000', 'QD', '25.06.1994', '   4.6800']
4991['138000', 'QD', '02.07.1994', '   4.4700']
4998['138000', 'QD', '09.07.1994', '   4.2900']
5005['138000', 'QD', '16.07.1994', '   5.0900']
5012['138000', 'QD', '23.07.1994', '   3.9200']
5019['138000', 'QD', '30.07.1994', '   3.3700']
5026['138000', 'QD', '06.08.1994', '   2.6400']
5033['138000', 'QD', '13.08.1994', '   4.5800']
5040['138000', 'QD', '20.08.1994', '   3.9200']
5047['138000', 'QD', '27.08.1994', '   4.9100']
5054['138000', 'QD', '03.09.1994', '   3.1800']
5061['138000', 'QD', '10.09.1994', '   2.8700']
5068['138000', 'QD', '17.09.1994', '   3.1600']
5075['138000', 'QD', '24.09.1994', '   2.8300']
5082['138000', 'QD', '01.10.1994', '   3.8000']
5089['138000', 'QD', '08.10.1994', '   3.9100']
5096['138000', 'QD', '15.10.1994', '   3.7600']
5103['138000', 'QD', '22.10.1994', '   3.4300']
5110['138000', 'QD', '29.10.1994', '   4.1100']
5117['138000', 'QD', '05.11.1994', '   3.9000']
5124['138000', 'QD', '12.11.1994', '   3.8100']
5131['138000', 'QD', '19.11.1994', '   8.2300']
5138['138000', 'QD', '26.11.1994', '   6.2200']
5145['138000', 'QD', '03.12.1994', '   5.4100']
5152['138000', 'QD', '10.12.1994', '   8.7000']
5159['138000', 'QD', '17.12.1994', '   7.3300']
5166['138000', 'QD', '24.12.1994', '   5.8600']
5173['138000', 'QD', '31.12.1994', '  24.8000']
5180['138000', 'QD', '07.01.1995', '   9.0000']
5187['138000', 'QD', '14.01.1995', '   7.7000']
5194['138000', 'QD', '21.01.1995', '   6.2400']
5201['138000', 'QD', '28.01.1995', '  33.7000']
5208['138000', 'QD', '04.02.1995', '  19.9000']
5215['138000', 'QD', '11.02.1995', '  16.1000']
5222['138000', 'QD', '18.02.1995', '  17.9000']
5229['138000', 'QD', '25.02.1995', '  14.4000']
5236['138000', 'QD', '04.03.1995', '  12.9000']
5243['138000', 'QD', '11.03.1995', '   9.6500']
5250['138000', 'QD', '18.03.1995', '  15.7000']
5257['138000', 'QD', '25.03.1995', '  14.4000']
5264['138000', 'QD', '01.04.1995', '  15.9000']
5271['138000', 'QD', '08.04.1995', '  34.1000']
5278['138000', 'QD', '15.04.1995', '  17.6000']
5285['138000', 'QD', '22.04.1995', '  37.2000']
5292['138000', 'QD', '29.04.1995', '  31.0000']
5299['138000', 'QD', '06.05.1995', '  31.0000']
5306['138000', 'QD', '13.05.1995', '  41.2000']
5313['138000', 'QD', '20.05.1995', '  19.6000']
5320['138000', 'QD', '27.05.1995', '  16.0000']
5327['138000', 'QD', '03.06.1995', '  23.3000']
5334['138000', 'QD', '10.06.1995', '  29.7000']
5341['138000', 'QD', '17.06.1995', '  17.6000']
5348['138000', 'QD', '24.06.1995', '  12.7000']
5355['138000', 'QD', '01.07.1995', '  18.9000']
5362['138000', 'QD', '08.07.1995', '   9.6200']
5369['138000', 'QD', '15.07.1995', '  13.1000']
5376['138000', 'QD', '22.07.1995', '   6.7400']
5383['138000', 'QD', '29.07.1995', '  11.2000']
5390['138000', 'QD', '05.08.1995', '   5.6700']
5397['138000', 'QD', '12.08.1995', '   4.7600']
5404['138000', 'QD', '19.08.1995', '   5.0200']
5411['138000', 'QD', '26.08.1995', '   4.7100']
5418['138000', 'QD', '02.09.1995', '  54.5000']
5425['138000', 'QD', '09.09.1995', '   9.3500']
5432['138000', 'QD', '16.09.1995', '  10.4000']
5439['138000', 'QD', '23.09.1995', '   7.9600']
5446['138000', 'QD', '30.09.1995', '   7.7300']
5453['138000', 'QD', '07.10.1995', '   7.6600']
5460['138000', 'QD', '14.10.1995', '   6.4500']
5467['138000', 'QD', '21.10.1995', '   5.9000']
5474['138000', 'QD', '28.10.1995', '   5.4500']
5481['138000', 'QD', '04.11.1995', '  10.7000']
5488['138000', 'QD', '11.11.1995', '   7.4500']
5495['138000', 'QD', '18.11.1995', '  26.9000']
5502['138000', 'QD', '25.11.1995', '  10.0000']
5509['138000', 'QD', '02.12.1995', '   7.1400']
5516['138000', 'QD', '09.12.1995', '   5.8900']
5523['138000', 'QD', '16.12.1995', '   5.4900']
5530['138000', 'QD', '23.12.1995', '  29.3000']
5537['138000', 'QD', '30.12.1995', '  12.1000']
5544['138000', 'QD', '06.01.1996', '   9.2900']
5551['138000', 'QD', '13.01.1996', '   7.7600']
5558['138000', 'QD', '20.01.1996', '   6.4600']
5565['138000', 'QD', '27.01.1996', '   5.8400']
5572['138000', 'QD', '03.02.1996', '   4.3800']
5579['138000', 'QD', '10.02.1996', '   4.1600']
5586['138000', 'QD', '17.02.1996', '   4.4400']
5593['138000', 'QD', '24.02.1996', '   3.3600']
5600['138000', 'QD', '02.03.1996', '   3.7700']
5607['138000', 'QD', '09.03.1996', '   3.7800']
5614['138000', 'QD', '16.03.1996', '   4.2900']
5621['138000', 'QD', '23.03.1996', '   7.0100']
5628['138000', 'QD', '30.03.1996', '   6.1000']
5635['138000', 'QD', '06.04.1996', '   5.6400']
5642['138000', 'QD', '13.04.1996', '   9.4900']
5649['138000', 'QD', '20.04.1996', '  16.5000']
5656['138000', 'QD', '27.04.1996', '  16.2000']
5663['138000', 'QD', '04.05.1996', '  19.8000']
5670['138000', 'QD', '11.05.1996', '  13.3000']
5677['138000', 'QD', '18.05.1996', '  15.2000']
5684['138000', 'QD', '25.05.1996', '  10.2000']
5691['138000', 'QD', '01.06.1996', '   9.1100']
5698['138000', 'QD', '08.06.1996', '   8.1400']
5705['138000', 'QD', '15.06.1996', '   6.6100']
5712['138000', 'QD', '22.06.1996', '   8.2000']
5719['138000', 'QD', '29.06.1996', '   6.0200']
5726['138000', 'QD', '06.07.1996', '  10.1000']
5733['138000', 'QD', '13.07.1996', '  17.2000']
5740['138000', 'QD', '20.07.1996', '   7.9000']
5747['138000', 'QD', '27.07.1996', '   6.9900']
5754['138000', 'QD', '03.08.1996', '  13.3000']
5761['138000', 'QD', '10.08.1996', '   5.8400']
5768['138000', 'QD', '17.08.1996', '   8.1200']
5775['138000', 'QD', '24.08.1996', '   5.4300']
5782['138000', 'QD', '31.08.1996', '   5.5100']
5789['138000', 'QD', '07.09.1996', '   7.9200']
5796['138000', 'QD', '14.09.1996', '  18.8000']
5803['138000', 'QD', '21.09.1996', '   6.6100']
5810['138000', 'QD', '28.09.1996', '   7.5600']
5817['138000', 'QD', '05.10.1996', '   5.6700']
5824['138000', 'QD', '12.10.1996', '   6.1200']
5831['138000', 'QD', '19.10.1996', '   6.1700']
5838['138000', 'QD', '26.10.1996', '   8.3000']
5845['138000', 'QD', '02.11.1996', '  16.7000']
5852['138000', 'QD', '09.11.1996', '  15.7000']
5859['138000', 'QD', '16.11.1996', '  13.3000']
5866['138000', 'QD', '23.11.1996', '  10.5000']
5873['138000', 'QD', '30.11.1996', '   9.4400']
5880['138000', 'QD', '07.12.1996', '   7.9900']
5887['138000', 'QD', '14.12.1996', '   8.2200']
5894['138000', 'QD', '21.12.1996', '   9.8600']
5901['138000', 'QD', '28.12.1996', '   5.6600']
5908['138000', 'QD', '04.01.1997', '   4.4000']
5915['138000', 'QD', '11.01.1997', '   3.6500']
5922['138000', 'QD', '18.01.1997', '   2.9800']
5929['138000', 'QD', '25.01.1997', '   6.3700']
5936['138000', 'QD', '01.02.1997', '   4.0200']
5943['138000', 'QD', '08.02.1997', '   4.3400']
5950['138000', 'QD', '15.02.1997', '   9.8300']
5957['138000', 'QD', '22.02.1997', '   8.7400']
5964['138000', 'QD', '01.03.1997', '  21.0000']
5971['138000', 'QD', '08.03.1997', '  16.4000']
5978['138000', 'QD', '15.03.1997', '  15.4000']
5985['138000', 'QD', '22.03.1997', '  15.2000']
5992['138000', 'QD', '29.03.1997', '  23.1000']
5999['138000', 'QD', '05.04.1997', '  14.3000']
6006['138000', 'QD', '12.04.1997', '  17.1000']
6013['138000', 'QD', '19.04.1997', '  12.8000']
6020['138000', 'QD', '26.04.1997', '  12.7000']
6027['138000', 'QD', '03.05.1997', '  17.3000']
6034['138000', 'QD', '10.05.1997', '  13.0000']
6041['138000', 'QD', '17.05.1997', '   8.2000']
6048['138000', 'QD', '24.05.1997', '   9.1000']
6055['138000', 'QD', '31.05.1997', '   6.9400']
6062['138000', 'QD', '07.06.1997', '   5.7500']
6069['138000', 'QD', '14.06.1997', '   5.2300']
6076['138000', 'QD', '21.06.1997', '   7.0100']
6083['138000', 'QD', '28.06.1997', '   4.6100']
6090['138000', 'QD', '05.07.1997', '   5.3900']
6097['138000', 'QD', '12.07.1997', '  11.9000']
6104['138000', 'QD', '19.07.1997', '  20.0000']
6111['138000', 'QD', '26.07.1997', '  17.5000']
6118['138000', 'QD', '02.08.1997', '   7.7100']
6125['138000', 'QD', '09.08.1997', '   6.7100']
6132['138000', 'QD', '16.08.1997', '   5.1600']
6139['138000', 'QD', '23.08.1997', '   6.3600']
6146['138000', 'QD', '30.08.1997', '   7.1600']
6153['138000', 'QD', '06.09.1997', '   4.5000']
6160['138000', 'QD', '13.09.1997', '   3.7400']
6167['138000', 'QD', '20.09.1997', '   3.3600']
6174['138000', 'QD', '27.09.1997', '   3.1000']
6181['138000', 'QD', '04.10.1997', '   3.9700']
6188['138000', 'QD', '11.10.1997', '  26.0000']
6195['138000', 'QD', '18.10.1997', '   5.2900']
6202['138000', 'QD', '25.10.1997', '   3.6800']
6209['138000', 'QD', '01.11.1997', '   3.4300']
6216['138000', 'QD', '08.11.1997', '   4.8900']
6223['138000', 'QD', '15.11.1997', '   4.6000']
6230['138000', 'QD', '22.11.1997', '   5.3300']
6237['138000', 'QD', '29.11.1997', '   4.3800']
6244['138000', 'QD', '06.12.1997', '   3.0900']
6251['138000', 'QD', '13.12.1997', '  23.2000']
6258['138000', 'QD', '20.12.1997', '   4.8000']
6265['138000', 'QD', '27.12.1997', '  14.0000']
6272['138000', 'QD', '03.01.1998', '   6.7900']
6279['138000', 'QD', '10.01.1998', '   8.7900']
6286['138000', 'QD', '17.01.1998', '   6.4700']
6293['138000', 'QD', '24.01.1998', '   5.6400']
6300['138000', 'QD', '31.01.1998', '   3.6300']
6307['138000', 'QD', '07.02.1998', '   4.2800']
6314['138000', 'QD', '14.02.1998', '  10.5000']
6321['138000', 'QD', '21.02.1998', '   6.3500']
6328['138000', 'QD', '28.02.1998', '   6.9400']
6335['138000', 'QD', '07.03.1998', '  14.7000']
6342['138000', 'QD', '14.03.1998', '   7.9100']
6349['138000', 'QD', '21.03.1998', '  11.9000']
6356['138000', 'QD', '28.03.1998', '   8.8100']
6363['138000', 'QD', '04.04.1998', '  13.7000']
6370['138000', 'QD', '11.04.1998', '   8.9800']
6377['138000', 'QD', '18.04.1998', '   7.6800']
6384['138000', 'QD', '25.04.1998', '   7.3300']
6391['138000', 'QD', '02.05.1998', '   5.6400']
6398['138000', 'QD', '09.05.1998', '   5.0000']
6405['138000', 'QD', '16.05.1998', '   4.1700']
6412['138000', 'QD', '23.05.1998', '   4.2900']
6419['138000', 'QD', '30.05.1998', '   3.9200']
6426['138000', 'QD', '06.06.1998', '   3.1800']
6433['138000', 'QD', '13.06.1998', '  17.9000']
6440['138000', 'QD', '20.06.1998', '   5.4700']
6447['138000', 'QD', '27.06.1998', '   4.5600']
6454['138000', 'QD', '04.07.1998', '   3.5800']
6461['138000', 'QD', '11.07.1998', '   6.6100']
6468['138000', 'QD', '18.07.1998', '   4.8000']
6475['138000', 'QD', '25.07.1998', '   3.7800']
6482['138000', 'QD', '01.08.1998', '   3.7600']
6489['138000', 'QD', '08.08.1998', '   3.7300']
6496['138000', 'QD', '15.08.1998', '   3.1000']
6503['138000', 'QD', '22.08.1998', '   4.3400']
6510['138000', 'QD', '29.08.1998', '   3.1900']
6517['138000', 'QD', '05.09.1998', '   4.7000']
6524['138000', 'QD', '12.09.1998', '   5.5900']
6531['138000', 'QD', '19.09.1998', '  15.6000']
6538['138000', 'QD', '26.09.1998', '   6.8100']
6545['138000', 'QD', '03.10.1998', '   8.3300']
6552['138000', 'QD', '10.10.1998', '   5.3200']
6559['138000', 'QD', '17.10.1998', '   7.7500']
6566['138000', 'QD', '24.10.1998', '   6.1700']
6573['138000', 'QD', '31.10.1998', '  39.1000']
6580['138000', 'QD', '07.11.1998', '  27.9000']
6587['138000', 'QD', '14.11.1998', '  21.7000']
6594['138000', 'QD', '21.11.1998', '  14.5000']
6601['138000', 'QD', '28.11.1998', '  10.8000']
6608['138000', 'QD', '05.12.1998', '   8.3000']
6615['138000', 'QD', '12.12.1998', '   8.0200']
6622['138000', 'QD', '19.12.1998', '   9.8100']
6629['138000', 'QD', '26.12.1998', '   7.7200']
6636['138000', 'QD', '02.01.1999', '   7.4100']
6643['138000', 'QD', '09.01.1999', '  12.2000']
6650['138000', 'QD', '16.01.1999', '   8.2400']
6657['138000', 'QD', '23.01.1999', '   6.8600']
6664['138000', 'QD', '30.01.1999', '   6.8000']
6671['138000', 'QD', '06.02.1999', '  10.1000']
6678['138000', 'QD', '13.02.1999', '   7.0300']
6685['138000', 'QD', '20.02.1999', '   9.1400']
6692['138000', 'QD', '27.02.1999', '   7.8200']
6699['138000', 'QD', '06.03.1999', '  20.1000']
6706['138000', 'QD', '13.03.1999', '  15.9000']
6713['138000', 'QD', '20.03.1999', '  12.4000']
6720['138000', 'QD', '27.03.1999', '  15.2000']
6727['138000', 'QD', '03.04.1999', '  18.7000']
6734['138000', 'QD', '10.04.1999', '  22.5000']
6741['138000', 'QD', '17.04.1999', '  17.7000']
6748['138000', 'QD', '24.04.1999', '  19.7000']
6755['138000', 'QD', '01.05.1999', '  27.4000']
6762['138000', 'QD', '08.05.1999', '  22.1000']
6769['138000', 'QD', '15.05.1999', '  20.7000']
6776['138000', 'QD', '22.05.1999', '  21.6000']
6783['138000', 'QD', '29.05.1999', '  13.8000']
6790['138000', 'QD', '05.06.1999', '  10.2000']
6797['138000', 'QD', '12.06.1999', '   7.8800']
6804['138000', 'QD', '19.06.1999', '   7.6200']
6811['138000', 'QD', '26.06.1999', '   5.8700']
6818['138000', 'QD', '03.07.1999', '   4.5600']
6825['138000', 'QD', '10.07.1999', '  56.8000']
6832['138000', 'QD', '17.07.1999', '   7.7200']
6839['138000', 'QD', '24.07.1999', '   7.5100']
6846['138000', 'QD', '31.07.1999', '   4.6000']
6853['138000', 'QD', '07.08.1999', '   4.7400']
6860['138000', 'QD', '14.08.1999', '   4.0600']
6867['138000', 'QD', '21.08.1999', '   3.6100']
6874['138000', 'QD', '28.08.1999', '   7.0800']
6881['138000', 'QD', '04.09.1999', '   5.0100']
6888['138000', 'QD', '11.09.1999', '   3.3800']
6895['138000', 'QD', '18.09.1999', '   5.1200']
6902['138000', 'QD', '25.09.1999', '   3.4000']
6909['138000', 'QD', '02.10.1999', '   6.0000']
6916['138000', 'QD', '09.10.1999', '   3.4900']
6923['138000', 'QD', '16.10.1999', '   3.3600']
6930['138000', 'QD', '23.10.1999', '   3.1900']
6937['138000', 'QD', '30.10.1999', '   2.9500']
6944['138000', 'QD', '06.11.1999', '   3.6500']
6951['138000', 'QD', '13.11.1999', '   3.9600']
6958['138000', 'QD', '20.11.1999', '   3.3300']
6965['138000', 'QD', '27.11.1999', '   3.4400']
6972['138000', 'QD', '04.12.1999', '   3.8900']
6979['138000', 'QD', '11.12.1999', '   3.2600']
6986['138000', 'QD', '18.12.1999', '   4.1200']
6993['138000', 'QD', '25.12.1999', '   3.9900']
7000['138000', 'QD', '01.01.2000', '   4.9100']
7007['138000', 'QD', '08.01.2000', '   4.7900']
7014['138000', 'QD', '15.01.2000', '   4.2200']
7021['138000', 'QD', '22.01.2000', '   4.0800']
7028['138000', 'QD', '29.01.2000', '   4.0000']
7035['138000', 'QD', '05.02.2000', '  10.3000']
7042['138000', 'QD', '12.02.2000', '  12.5000']
7049['138000', 'QD', '19.02.2000', '   9.2800']
7056['138000', 'QD', '26.02.2000', '  16.3000']
7063['138000', 'QD', '04.03.2000', '  16.5000']
7070['138000', 'QD', '11.03.2000', '  33.6000']
7077['138000', 'QD', '18.03.2000', '  21.8000']
7084['138000', 'QD', '25.03.2000', '  29.4000']
7091['138000', 'QD', '01.04.2000', '  20.8000']
7098['138000', 'QD', '08.04.2000', '  17.5000']
7105['138000', 'QD', '15.04.2000', '  24.9000']
7112['138000', 'QD', '22.04.2000', '  39.7000']
7119['138000', 'QD', '29.04.2000', '  36.8000']
7126['138000', 'QD', '06.05.2000', '  22.7000']
7133['138000', 'QD', '13.05.2000', '  14.4000']
7140['138000', 'QD', '20.05.2000', '  19.8000']
7147['138000', 'QD', '27.05.2000', '   9.2900']
7154['138000', 'QD', '03.06.2000', '   8.0100']
7161['138000', 'QD', '10.06.2000', '   6.7900']
7168['138000', 'QD', '17.06.2000', '   6.3900']
7175['138000', 'QD', '24.06.2000', '   9.1400']
7182['138000', 'QD', '01.07.2000', '   5.3500']
7189['138000', 'QD', '08.07.2000', '   5.7300']
7196['138000', 'QD', '15.07.2000', '  14.9000']
7203['138000', 'QD', '22.07.2000', '   4.9800']
7210['138000', 'QD', '29.07.2000', '  14.5000']
7217['138000', 'QD', '05.08.2000', '   6.9700']
7224['138000', 'QD', '12.08.2000', '   5.1200']
7231['138000', 'QD', '19.08.2000', '   4.9500']
7238['138000', 'QD', '26.08.2000', '   4.1100']
7245['138000', 'QD', '02.09.2000', '   4.5000']
7252['138000', 'QD', '09.09.2000', '   5.0100']
7259['138000', 'QD', '16.09.2000', '   3.4000']
7266['138000', 'QD', '23.09.2000', '   6.0400']
7273['138000', 'QD', '30.09.2000', '   3.6900']
7280['138000', 'QD', '07.10.2000', '   8.1900']
