861['138000', 'QD', '12.03.1983', '   7.3200']
868['138000', 'QD', '19.03.1983', '  13.2000']
875['138000', 'QD', '26.03.1983', '   8.9000']
882['138000', 'QD', '02.04.1983', '   8.9000']
889['138000', 'QD', '09.04.1983', '  54.8000']
896['138000', 'QD', '16.04.1983', '  21.9000']
903['138000', 'QD', '23.04.1983', '  31.0000']
910['138000', 'QD', '30.04.1983', '  21.9000']
917['138000', 'QD', '07.05.1983', '  14.4000']
924['138000', 'QD', '14.05.1983', '  11.8000']
931['138000', 'QD', '21.05.1983', '   8.1500']
938['138000', 'QD', '28.05.1983', '   8.4500']
945['138000', 'QD', '04.06.1983', '   6.6000']
952['138000', 'QD', '11.06.1983', '   7.7000']
959['138000', 'QD', '18.06.1983', '   8.4500']
966['138000', 'QD', '25.06.1983', '   6.6000']
973['138000', 'QD', '02.07.1983', '   6.6000']
980['138000', 'QD', '09.07.1983', '  11.3000']
987['138000', 'QD', '16.07.1983', '   5.0000']
994['138000', 'QD', '23.07.1983', '   4.4000']
1001['138000', 'QD', '30.07.1983', '   3.3700']
1008['138000', 'QD', '06.08.1983', '  19.4000']
1015['138000', 'QD', '13.08.1983', '   7.7000']
1022['138000', 'QD', '20.08.1983', '   6.6000']
1029['138000', 'QD', '27.08.1983', '   6.3000']
1036['138000', 'QD', '03.09.1983', '   5.3000']
1043['138000', 'QD', '10.09.1983', '   4.4000']
1050['138000', 'QD', '17.09.1983', '   5.3000']
1057['138000', 'QD', '24.09.1983', '   4.4000']
1064['138000', 'QD', '01.10.1983', '   4.7000']
1071['138000', 'QD', '08.10.1983', '   5.6000']
1078['138000', 'QD', '15.10.1983', '   5.3000']
1085['138000', 'QD', '22.10.1983', '   4.7000']
1092['138000', 'QD', '29.10.1983', '   4.7000']
1099['138000', 'QD', '05.11.1983', '   4.7000']
1106['138000', 'QD', '12.11.1983', '   4.1000']
1113['138000', 'QD', '19.11.1983', '   4.1000']
1120['138000', 'QD', '26.11.1983', '   6.6000']
1127['138000', 'QD', '03.12.1983', '   5.3000']
1134['138000', 'QD', '10.12.1983', '   5.3000']
1141['138000', 'QD', '17.12.1983', '   4.4000']
1148['138000', 'QD', '24.12.1983', '   5.6000']
1155['138000', 'QD', '31.12.1983', '   6.6000']
1162['138000', 'QD', '07.01.1984', '   5.3000']
1169['138000', 'QD', '14.01.1984', '   5.6000']
1176['138000', 'QD', '21.01.1984', '   7.3200']
1183['138000', 'QD', '28.01.1984', '   5.3000']
1190['138000', 'QD', '04.02.1984', '   5.0000']
1197['138000', 'QD', '11.02.1984', '   7.0000']
1204['138000', 'QD', '18.02.1984', '   5.9000']
1211['138000', 'QD', '25.02.1984', '   5.9000']
1218['138000', 'QD', '03.03.1984', '   5.9000']
1225['138000', 'QD', '10.03.1984', '   5.6000']
1232['138000', 'QD', '17.03.1984', '   4.7000']
1239['138000', 'QD', '24.03.1984', '   4.7000']
1246['138000', 'QD', '31.03.1984', '   9.6500']
1253['138000', 'QD', '07.04.1984', '   8.9000']
1260['138000', 'QD', '14.04.1984', '  13.2000']
1267['138000', 'QD', '21.04.1984', '  12.2000']
1274['138000', 'QD', '28.04.1984', '  14.4000']
1281['138000', 'QD', '05.05.1984', '  21.9000']
1288['138000', 'QD', '12.05.1984', '  13.2000']
1295['138000', 'QD', '19.05.1984', '  17.0000']
1302['138000', 'QD', '26.05.1984', '  17.4000']
1309['138000', 'QD', '02.06.1984', '  13.7000']
1316['138000', 'QD', '09.06.1984', '  11.3000']
1323['138000', 'QD', '16.06.1984', '  10.1000']
1330['138000', 'QD', '23.06.1984', '   7.7000']
1337['138000', 'QD', '30.06.1984', '   7.0000']
1344['138000', 'QD', '07.07.1984', '   7.0000']
1351['138000', 'QD', '14.07.1984', '   8.4500']
1358['138000', 'QD', '21.07.1984', '   7.3200']
1365['138000', 'QD', '28.07.1984', '   6.6000']
1372['138000', 'QD', '04.08.1984', '   5.0000']
1379['138000', 'QD', '11.08.1984', '   5.0000']
1386['138000', 'QD', '18.08.1984', '   4.7000']
1393['138000', 'QD', '25.08.1984', '   4.7000']
1400['138000', 'QD', '01.09.1984', '   3.8000']
1407['138000', 'QD', '08.09.1984', '   5.6000']
1414['138000', 'QD', '15.09.1984', '  12.2000']
1421['138000', 'QD', '22.09.1984', '  12.2000']
1428['138000', 'QD', '29.09.1984', '   9.6500']
1435['138000', 'QD', '06.10.1984', '   8.1500']
1442['138000', 'QD', '13.10.1984', '   7.3200']
1449['138000', 'QD', '20.10.1984', '   6.3000']
1456['138000', 'QD', '27.10.1984', '   6.3000']
1463['138000', 'QD', '03.11.1984', '   5.9000']
1470['138000', 'QD', '10.11.1984', '   5.6000']
1477['138000', 'QD', '17.11.1984', '   4.7000']
1484['138000', 'QD', '24.11.1984', '  20.0000']
1491['138000', 'QD', '01.12.1984', '   5.6000']
1498['138000', 'QD', '08.12.1984', '   5.6000']
1505['138000', 'QD', '15.12.1984', '   5.0000']
1512['138000', 'QD', '22.12.1984', '   5.0000']
1519['138000', 'QD', '29.12.1984', '   3.8000']
1526['138000', 'QD', '05.01.1985', '   3.5900']
1533['138000', 'QD', '12.01.1985', '   3.1600']
1540['138000', 'QD', '19.01.1985', '   2.9400']
1547['138000', 'QD', '26.01.1985', '   6.3000']
1554['138000', 'QD', '02.02.1985', '  27.7000']
1561['138000', 'QD', '09.02.1985', '   5.0000']
1568['138000', 'QD', '16.02.1985', '   2.9400']
1575['138000', 'QD', '23.02.1985', '   2.3000']
1582['138000', 'QD', '02.03.1985', '   7.3200']
1589['138000', 'QD', '09.03.1985', '   6.3000']
1596['138000', 'QD', '16.03.1985', '   5.3000']
1603['138000', 'QD', '23.03.1985', '   7.0000']
1610['138000', 'QD', '30.03.1985', '   7.7000']
1617['138000', 'QD', '06.04.1985', '  17.0000']
1624['138000', 'QD', '13.04.1985', '  13.2000']
1631['138000', 'QD', '20.04.1985', '  10.9000']
1638['138000', 'QD', '27.04.1985', '   9.2500']
1645['138000', 'QD', '04.05.1985', '  12.2000']
1652['138000', 'QD', '11.05.1985', '  20.0000']
1659['138000', 'QD', '18.05.1985', '  14.4000']
1666['138000', 'QD', '25.05.1985', '  10.9000']
1673['138000', 'QD', '01.06.1985', '   8.4500']
1680['138000', 'QD', '08.06.1985', '   7.7000']
1687['138000', 'QD', '15.06.1985', '   7.7000']
